census,msoa,cob,count
2001,E02000236,rWE,113
2001,E02000236,UK,6843
2001,E02000237,EE,23
2001,E02000237,Other,368
2001,E02000237,rWE,82
2001,E02000237,UK,6936
2001,E02000238,EE,88
2001,E02000238,Other,1987
2001,E02000238,rWE,170
2001,E02000238,UK,5485
2001,E02000239,EE,117
2001,E02000239,Other,2918
2001,E02000239,rWE,169
2001,E02000239,UK,4750
2001,E02000240,EE,121
2001,E02000240,Other,1582
2001,E02000240,rWE,176
2001,E02000240,UK,6428
2001,E02000241,EE,82
2001,E02000241,Other,1265
2001,E02000241,rWE,125
2001,E02000241,UK,4201
2001,E02000242,EE,127
2001,E02000242,Other,2220
2001,E02000242,rWE,167
2001,E02000242,UK,3173
2001,E02000243,EE,137
2001,E02000243,Other,2006
2001,E02000243,rWE,176
2001,E02000243,UK,4938
2001,E02000244,EE,214
2001,E02000244,Other,1716
2001,E02000244,rWE,265
2001,E02000244,UK,3662
2001,E02000245,EE,82
2001,E02000245,Other,1558
2001,E02000245,rWE,92
2001,E02000245,UK,5216
2001,E02000246,EE,64
2001,E02000246,Other,1314
2001,E02000246,rWE,79
2001,E02000246,UK,5996
2001,E02000247,EE,70
2001,E02000247,Other,1820
2001,E02000247,rWE,127
2001,E02000247,UK,5048
2001,E02000248,EE,265
2001,E02000248,Other,2120
2001,E02000248,rWE,397
2001,E02000248,UK,3314
2001,E02000249,EE,93
2001,E02000249,Other,1630
2001,E02000249,rWE,116
2001,E02000249,UK,4217
2001,E02000250,EE,185
2001,E02000250,Other,960
2001,E02000250,rWE,265
2001,E02000250,UK,4695
2001,E02000251,EE,102
2001,E02000251,Other,2622
2001,E02000251,rWE,104
2001,E02000251,UK,4203
2001,E02000252,EE,289
2001,E02000252,Other,2205
2001,E02000252,rWE,356
2001,E02000252,UK,4286
2001,E02000253,EE,223
2001,E02000253,Other,1864
2001,E02000253,rWE,197
2001,E02000253,UK,6059
2001,E02000254,EE,59
2001,E02000254,Other,3796
2001,E02000254,rWE,52
2001,E02000254,UK,4236
2001,E02000255,EE,324
2001,E02000255,Other,2065
2001,E02000255,rWE,332
2001,E02000255,UK,6201
2001,E02000256,EE,329
2001,E02000256,Other,1595
